#: table_doi: 10.17182/hepdata.94313.v1/t63
#: name: Lambda pT spectrum, Au+Au 27 GeV, 0-5%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau27_cent6.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,0-5%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5018,0.4,0.6,2.698,0.038,-0.038,0.138,-0.138
0.7002,0.6,0.8,2.158,0.019,-0.019,0.119,-0.119
0.8988,0.8,1.0,1.6112,0.0125,-0.0125,0.0627,-0.0627
1.0978,1.0,1.2,1.1117,0.0082,-0.0082,0.0372,-0.0372
1.2969,1.2,1.4,0.6958,0.0053,-0.0053,0.0275,-0.0275
1.4962,1.4,1.6,0.4071,0.0032,-0.0032,0.0138,-0.0138
1.6957,1.6,1.8,0.23219,0.00192,-0.00192,0.00822,-0.00822
1.8952,1.8,2.0,0.12354,0.0011,-0.0011,0.00353,-0.00353
2.1371,2.0,2.3,0.05647,0.00044,-0.00044,0.00197,-0.00197
2.437,2.3,2.6,0.020657,0.000188,-0.000188,0.00085,-0.00085
2.7769,2.6,3.0,0.006173,6.3e-05,-6.3e-05,0.000229,-0.000229
3.1772,3.0,3.4,0.001577,2.55e-05,-2.55e-05,6.34e-05,-6.34e-05
3.6153,3.4,3.9,0.000323,8.9e-06,-8.9e-06,1.44e-05,-1.44e-05
4.1161,3.9,4.4,5.962e-05,3.56e-06,-3.56e-06,3.12e-06,-3.12e-06
4.6529,4.4,5.0,8.29e-06,1.26e-06,-1.26e-06,4.8e-07,-4.8e-07
5.3799,5.0,6.0,1.79e-06,2.82e-07,-2.82e-07,1.57e-07,-1.57e-07

