#: table_doi: 10.17182/hepdata.94313.v1/t92
#: name: AntiLambda pT spectrum, Au+Au 27 GeV, 60-80%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig7_lambdabar_auau27_cent0.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,60-80%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.4994,0.4,0.6,0.05246,0.00115,-0.00115,0.00287,-0.00287
0.6974,0.6,0.8,0.03039,0.00046,-0.00046,0.0015,-0.0015
0.896,0.8,1.0,0.016711,0.00023,-0.00023,0.000976,-0.000976
1.0951,1.0,1.2,0.008776,0.000122,-0.000122,0.000527,-0.000527
1.2945,1.2,1.4,0.004293,6.3e-05,-6.3e-05,0.0003,-0.0003
1.494,1.4,1.6,0.002024,3.3e-05,-3.3e-05,0.000176,-0.000176
1.6937,1.6,1.8,0.000999,1.88e-05,-1.88e-05,7.54e-05,-7.54e-05
1.8934,1.8,2.0,0.0004798,1.07e-05,-1.07e-05,4.64e-05,-4.64e-05
2.1357,2.0,2.3,0.000192,4.4e-06,-4.4e-06,1.84e-05,-1.84e-05
2.4358,2.3,2.6,6.033e-05,2.03e-06,-2.03e-06,6.78e-06,-6.78e-06
2.7752,2.6,3.0,1.906e-05,8.8e-07,-8.8e-07,1.65e-06,-1.65e-06
3.1757,3.0,3.4,3.753e-06,3.99e-07,-3.99e-07,3.26e-07,-3.26e-07
3.6134,3.4,3.9,5.48e-07,1.34e-07,-1.34e-07,5.1e-08,-5.1e-08
4.1147,3.9,4.4,8.41e-08,6.03e-08,-6.03e-08,7.6e-09,-7.6e-09

