#: table_doi: 10.17182/hepdata.94313.v1/t285
#: name: Phi Rcp(0-10%/40-60%), Au+Au 7.7 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_phi_auau7.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 7.7
#: particles,Phi
pT [GeV/c],Rcp,stat +,stat -
0.4461,0.85,0.27,-0.27
0.5496,0.87,0.16,-0.16
0.6543,0.85,0.14,-0.14
0.8037,0.858,0.092,-0.092
0.9502,1.01,0.18,-0.18
1.1467,1.2,0.2,-0.2
1.4876,1.63,0.55,-0.55

