#: table_doi: 10.17182/hepdata.94313.v1/t243
#: name: Xi- dN/dy, Au+Au 27 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig17_xi_auau27.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- dN/dy
#: keyword cmenergies: 27
#: particles,Xi-
<Npart>,dN/dy,stat +,stat -,sys +,sys -
20.5,0.0294,0.0004,-0.0004,0.0015,-0.0015
61.2,0.1525,0.0012,-0.0012,0.0079,-0.0079
114.0,0.364,0.003,-0.003,0.015,-0.015
165.5,0.59,0.004,-0.004,0.028,-0.028
233.6,0.913,0.005,-0.005,0.063,-0.063
299.3,1.262,0.01,-0.01,0.086,-0.086
343.3,1.57,0.01,-0.01,0.11,-0.11

