#: table_doi: 10.17182/hepdata.94313.v1/t283
#: name: Lambda Rcp(0-5%/40-60%), Au+Au 7.7 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_lambda_auau7.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 7.7
#: particles,Lambda
pT [GeV/c],Rcp,stat +,stat -,sys +,sys -
0.5016,0.7,0.033,-0.033,0.049,-0.049
0.6997,0.9,0.027,-0.027,0.05,-0.05
0.8981,0.984,0.027,-0.027,0.064,-0.064
1.097,1.147,0.031,-0.031,0.07,-0.07
1.296,1.322,0.036,-0.036,0.069,-0.069
1.4953,1.546,0.044,-0.044,0.099,-0.099
1.6947,1.599,0.05,-0.05,0.091,-0.091
1.8942,1.737,0.061,-0.061,0.094,-0.094
2.136,1.97,0.07,-0.07,0.12,-0.12
2.4355,2.28,0.12,-0.12,0.14,-0.14
2.7738,2.38,0.19,-0.19,0.13,-0.13
3.1733,3.33,0.61,-0.61,0.2,-0.2
3.6082,3.5,1.4,-1.4,0.2,-0.2

