#: table_doi: 10.17182/hepdata.94313.v1/t54
#: name: Lambda pT spectrum, Au+Au 19.6 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau19_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 19.6
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5014,0.4,0.6,2.0068,0.0239,-0.0239,0.083,-0.083
0.6996,0.6,0.8,1.4883,0.0114,-0.0114,0.0587,-0.0587
0.8982,0.8,1.0,1.0395,0.0069,-0.0069,0.0384,-0.0384
1.0972,1.0,1.2,0.6861,0.0044,-0.0044,0.0218,-0.0218
1.2964,1.2,1.4,0.41874,0.00277,-0.00277,0.0099,-0.0099
1.4958,1.4,1.6,0.23472,0.00162,-0.00162,0.00729,-0.00729
1.6953,1.6,1.8,0.1287,0.00095,-0.00095,0.00505,-0.00505
1.8949,1.8,2.0,0.06783,0.00054,-0.00054,0.00167,-0.00167
2.137,2.0,2.3,0.02989,0.00021,-0.00021,0.00117,-0.00117
2.4369,2.3,2.6,0.010663,9.3e-05,-9.3e-05,0.00052,-0.00052
2.7768,2.6,3.0,0.003268,3.4e-05,-3.4e-05,0.000114,-0.000114
3.177,3.0,3.4,0.0007784,1.29e-05,-1.29e-05,2.86e-05,-2.86e-05
3.615,3.4,3.9,0.00017188,4.82e-06,-4.82e-06,7.17e-06,-7.17e-06
4.1158,3.9,4.4,2.683e-05,1.85e-06,-1.85e-06,1.27e-06,-1.27e-06
4.6526,4.4,5.0,4.473e-06,6.49e-07,-6.49e-07,2.88e-07,-2.88e-07

