#: table_doi: 10.17182/hepdata.94313.v1/t303
#: name: Omega-+AntiOmega+ Rcp(0-10%/40-60%), Au+Au 39 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_omega_auau39.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 39
#: particles,Omega-+AntiOmega+
pT [GeV/c],Rcp,stat +,stat -
0.9648,1.43,0.17,-0.17
1.2514,1.38,0.089,-0.089
1.5473,1.511,0.078,-0.078
1.845,1.749,0.094,-0.094
2.1883,1.887,0.098,-0.098
2.5862,1.77,0.12,-0.12
2.9848,1.8,0.18,-0.18
3.3838,2.61,0.44,-0.44

