#: table_doi: 10.17182/hepdata.94313.v1/t135
#: name: Xi- pT spectrum, Au+Au 39 GeV, 40-60%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig8_xi_auau39_cent1.yaml
#: keyword reactions: Au+Au
#: keyword observables: Xi- pT spectrum
#: keyword cmenergies: 39
#: Centrality,,,40-60%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7937,0.6,1.0,0.02554,0.00043,-0.00043,0.00195,-0.00195
1.143,1.0,1.3,0.011813,0.000167,-0.000167,0.000746,-0.000746
1.4413,1.3,1.6,0.005545,7.5e-05,-7.5e-05,0.000345,-0.000345
1.7401,1.6,1.9,0.002498,3.5e-05,-3.5e-05,0.000143,-0.000143
2.0394,1.9,2.2,0.00101,1.49e-05,-1.49e-05,5.35e-05,-5.35e-05
2.38,2.2,2.6,0.0003684,5.4e-06,-5.4e-06,2.31e-05,-2.31e-05
2.8547,2.6,3.2,8.224e-05,1.47e-06,-1.47e-06,5.02e-06,-5.02e-06
3.5211,3.2,4.0,1.0383e-05,3.64e-07,-3.64e-07,6.37e-07,-6.37e-07
4.3821,4.0,5.0,8.303e-07,7.88e-08,-7.88e-08,5.28e-08,-5.28e-08

