#: table_doi: 10.17182/hepdata.94313.v1/t60
#: name: Lambda pT spectrum, Au+Au 27 GeV, 20-30%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig6_lambda_auau27_cent3.yaml
#: keyword reactions: Au+Au
#: keyword observables: Lambda pT spectrum
#: keyword cmenergies: 27
#: Centrality,,,20-30%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.5012,0.4,0.6,1.2896,0.0163,-0.0163,0.0534,-0.0534
0.6993,0.6,0.8,0.9387,0.0077,-0.0077,0.0367,-0.0367
0.898,0.8,1.0,0.6568,0.0047,-0.0047,0.0151,-0.0151
1.0971,1.0,1.2,0.4273,0.003,-0.003,0.0128,-0.0128
1.2963,1.2,1.4,0.2601,0.00187,-0.00187,0.00613,-0.00613
1.4958,1.4,1.6,0.14782,0.00111,-0.00111,0.00371,-0.00371
1.6954,1.6,1.8,0.08037,0.00064,-0.00064,0.00299,-0.00299
1.895,1.8,2.0,0.04356,0.00037,-0.00037,0.00126,-0.00126
2.1375,2.0,2.3,0.019776,0.000149,-0.000149,0.000623,-0.000623
2.4373,2.3,2.6,0.007287,6.3e-05,-6.3e-05,0.000261,-0.000261
2.7776,2.6,3.0,0.0022834,2.18e-05,-2.18e-05,7.54e-05,-7.54e-05
3.1778,3.0,3.4,0.0006025,8.2e-06,-8.2e-06,2.23e-05,-2.23e-05
3.6161,3.4,3.9,0.0001363,2.89e-06,-2.89e-06,5.53e-06,-5.53e-06
4.1169,3.9,4.4,2.577e-05,1.14e-06,-1.14e-06,1.1e-06,-1.1e-06
4.6541,4.4,5.0,5.03e-06,4.17e-07,-4.17e-07,2.67e-07,-2.67e-07
5.3824,5.0,6.0,3.101e-07,9.29e-08,-9.29e-08,2.72e-08,-2.72e-08

