#: table_doi: 10.17182/hepdata.94313.v1/t145
#: name: AntiXi+ pT spectrum, Au+Au 7.7 GeV, 10-20%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig9_xibar_auau7_cent4.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiXi+ pT spectrum
#: keyword cmenergies: 7.7
#: Centrality,,,10-20%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.7986,0.6,1.0,0.00489,0.000748,-0.000748,0.000321,-0.000321
1.1894,1.0,1.4,0.002846,0.000247,-0.000247,0.000215,-0.000215
1.5832,1.4,1.8,0.0010597,9.94e-05,-9.94e-05,7.19e-05,-7.19e-05
1.9791,1.8,2.2,0.0002766,3.74e-05,-3.74e-05,2.23e-05,-2.23e-05
2.3778,2.2,2.6,5.55e-05,1.38e-05,-1.38e-05,3.8e-06,-3.8e-06
2.8798,2.6,3.3,6.56e-06,3.07e-06,-3.07e-06,4.9e-07,-4.9e-07

