#: table_doi: 10.17182/hepdata.94313.v1/t74
#: name: AntiLambda pT spectrum, Au+Au 7.7 GeV, 20-30%
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig7_lambdabar_auau7_cent3.yaml
#: keyword reactions: Au+Au
#: keyword observables: AntiLambda pT spectrum
#: keyword cmenergies: 7.7
#: Centrality,,,20-30%
pT [GeV/c],pT [GeV/c] LOW,pT [GeV/c] HIGH,d^2N/(2*pi*Nevt*pT*dy*dpT) [c^2/GeV^2],stat +,stat -,sys +,sys -
0.502,0.4,0.6,0.02767,0.00268,-0.00268,0.00238,-0.00238
0.7001,0.6,0.8,0.01838,0.00129,-0.00129,0.00149,-0.00149
0.8984,0.8,1.0,0.015624,0.00082,-0.00082,0.000892,-0.000892
1.0971,1.0,1.2,0.008738,0.000509,-0.000509,0.000557,-0.000557
1.2959,1.2,1.4,0.005049,0.000331,-0.000331,0.000271,-0.000271
1.495,1.4,1.6,0.002707,0.000202,-0.000202,0.000134,-0.000134
1.694,1.6,1.8,0.001263,0.00012,-0.00012,6.1e-05,-6.1e-05
1.9357,1.8,2.1,0.000388,4.86e-05,-4.86e-05,2e-05,-2e-05
2.2736,2.1,2.5,8.17e-05,1.89e-05,-1.89e-05,5.7e-06,-5.7e-06
2.7078,2.5,3.0,2.05e-05,6.7e-06,-6.7e-06,1.18e-06,-1.18e-06

