#: table_doi: 10.17182/hepdata.94313.v1/t287
#: name: Lambda Rcp(0-5%/40-60%), Au+Au 11.5 GeV
#: description: Data from STAR beam energy scan (Phase I) at RHIC, for mid-rapidity (|y|<0.5)
#: data_file: fig28_lambda_auau11.yaml
#: keyword reactions: Au+Au
#: keyword observables: Rcp
#: keyword cmenergies: 11.5
#: particles,Lambda
pT [GeV/c],Rcp,stat +,stat -,sys +,sys -
0.5018,0.669,0.026,-0.026,0.047,-0.047
0.6999,0.818,0.02,-0.02,0.045,-0.045
0.8984,0.933,0.02,-0.02,0.061,-0.061
1.0973,1.093,0.023,-0.023,0.067,-0.067
1.2963,1.215,0.027,-0.027,0.064,-0.064
1.4956,1.368,0.031,-0.031,0.088,-0.088
1.6951,1.474,0.036,-0.036,0.084,-0.084
1.8946,1.606,0.043,-0.043,0.085,-0.085
2.1367,1.75,0.04,-0.04,0.11,-0.11
2.4363,1.77,0.06,-0.06,0.11,-0.11
2.7752,1.81,0.07,-0.07,0.1,-0.1
3.1747,2.05,0.16,-0.16,0.12,-0.12
3.6103,3.17,0.59,-0.59,0.19,-0.19
4.1098,2.23,0.82,-0.82,0.13,-0.13

